NewData_1;NewData_2;NewData_3;NewData_4;NewData_5;NewData_6;NewData_7;NewData_8;NewData_9;NewData_10;NewData_11;NewData_12;NewData_13;NewData_14;NewData_15;NewData_16;NewData_17;NewData_18;NewData_19;NewData_20;NewData_21;NewData_22;NewData_23
2;4;63732483838.7308;-0.1802702;0.765474;-1.433298;0.9382557;0.1495304;0.3046317;-0.06720434;0;2;83;294.8592;-0.1734089;0.7685652;-1.444891;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483842.3564;0.08477716;0.7665498;-1.407373;0.8387244;0.1172912;0.5226947;-0.0978497;6;2;84;298.4852;0.0600802;0.7725016;-1.425725;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483845.7196;0.09548531;0.766767;-1.411068;0.835009;0.1043752;0.535761;-0.06946854;6;2;85;301.8478;0.0600802;0.7725016;-1.425725;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483848.8226;0.02775705;0.765635;-1.343639;-0.8900825;-0.1325546;-0.4282551;0.08234103;5;2;86;304.9509;-0.00144957;0.7710755;-1.35498;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483851.5604;-0.1559309;0.7637572;-1.237056;-0.9603036;-0.1480559;-0.2289517;0.05897212;2;2;87;307.6891;-0.1760693;0.76775;-1.294917;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483854.2253;-0.173694;0.765678;-1.430541;-0.9388001;-0.1546891;-0.300391;0.06701412;0;2;88;310.3535;-0.1734089;0.7685652;-1.444891;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483856.5141;-0.1771768;0.7646624;-1.360739;-0.9473107;-0.1497455;-0.2756805;0.06464487;1;2;89;312.6429;-0.1747391;0.7681575;-1.369904;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483859.3215;-0.1755792;0.7639701;-1.189381;-0.9656377;-0.1545191;-0.2000424;0.06042203;3;2;90;315.4501;-0.1773994;0.7673423;-1.21993;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483862.3115;-0.06918548;0.7645032;-1.308249;-0.9363183;-0.1493463;-0.3103578;0.06842301;4;2;91;318.4399;-0.08346333;0.7694253;-1.309551;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483865.4333;0.07237569;0.7673206;-1.420063;-0.8403118;-0.1274745;-0.5172856;0.1002089;6;2;92;321.5623;0.0600802;0.7725016;-1.425725;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483868.0904;-0.1557884;0.7654462;-1.431914;-0.9238762;-0.1528162;-0.3413074;0.08129741;0;2;93;324.2188;-0.1734089;0.7685652;-1.444891;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483870.7268;0.02464457;0.7653407;-1.339848;-0.8952931;-0.1400792;-0.4133283;0.08937366;5;2;94;326.8553;-0.00144957;0.7710755;-1.35498;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483873.596;-0.165925;0.7644597;-1.350027;-0.9413718;-0.1504441;-0.2943317;0.06748845;1;2;95;329.7245;-0.1747391;0.7681575;-1.369904;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483876.359;-0.1813047;0.7639468;-1.2666;-0.9654097;-0.1555382;-0.200875;0.05866216;2;2;96;332.4875;-0.1760693;0.76775;-1.294917;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483879.1868;-0.1901394;0.7637626;-1.199164;-0.9680543;-0.149885;-0.1931595;0.0556303;3;2;97;335.3152;-0.1773994;0.7673423;-1.21993;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483882.276;-0.06675579;0.7640294;-1.283551;-0.9376791;-0.1455481;-0.3076332;0.07025243;4;2;98;338.4046;-0.08346333;0.7694253;-1.309551;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483885.6831;-0.07116142;0.763719;-1.283058;-0.9307006;-0.1418054;-0.3285237;0.07589429;4;2;99;341.8114;-0.08346333;0.7694253;-1.309551;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483888.7265;-0.1562759;0.7637975;-1.182807;-0.9673234;-0.1571083;-0.1907701;0.0566508;3;2;100;344.8547;-0.1773994;0.7673423;-1.21993;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483891.7837;0.08177526;0.7668777;-1.410511;-0.8485625;-0.1248778;-0.5046076;0.0985826;6;2;101;347.9119;0.0600802;0.7725016;-1.425725;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
